ID,실거래명,동,시군구코드,K-apt코드,K-apt명,실거래준공,K-apt준공,년도차이,세대수,주소,검증결과,비고
12089,"양지","양지면 양지리",41461,A10022586,"용인 양지동문디이스트 아파트",1987,2023,36,175,"경기도 용인처인구 양지면 양지리 474-3 용인 양지동문디이스트 아파트",검토필요,
11662,"양산","북부동",48330,A10025152,"양산 지안스로가아파트",1984,2019,35,612,"경상남도 양산시 북부동 883 양산 지안스로가아파트",검토필요,
12345,"강변","입암동",51150,A10025303,"강변코아루오투리움",1984,2019,35,427,"강원특별자치도 강릉시 입암동 712 강변코아루오투리움",검토필요,
12613,"충정","충정로3가",11410,A12070201,"충정리시온",1969,2004,35,258,"서울특별시 서대문구 충정로3가 465 충정리시온",검토필요,
12289,"삼일","우암동",43114,A10027331,"우암 삼일 브리제하임 아파트",1982,2016,34,181,"충청북도 청주청원구 우암동 1210 우암 삼일 브리제하임 아파트",검토필요,
10914,"양수","호계동",41173,A10026673,"호계2차한양수자인",1984,2017,33,520,"울산광역시 북구 호계동  호계2차한양수자인",검토필요,
11764,"평택","비전동",41220,A45015006,"평택소사벌휴먼시아1단지",1979,2012,33,1060,"경기도 평택시 비전동 1005 평택소사벌휴먼시아1단지",검토필요,
12186,"동아","양덕동",48127,A10026432,"마산 양덕 동아위드필하임",1984,2017,33,153,"경상남도 창원마산회원구 양덕동 77-8 마산 양덕 동아위드필하임",검토필요,
12261,"봉황","봉황동",48250,A10026919,"e편한세상 봉황역아파트",1984,2017,33,936,"경상남도 김해시 봉황동 886 e편한세상 봉황역아파트",검토필요,
5530,"김포","사우동",41570,A10026284,"김포 사우 아이파크",1986,2018,32,1300,"경기도 김포시 사우동 1481 김포 사우 아이파크",검토필요,
11531,"인왕","홍제동",11410,A12078705,"홍제인왕산현대",1968,2000,32,700,"서울특별시 서대문구 홍제동 460 홍제인왕산현대",검토필요,
11951,"태화","신정동",31140,A68070101,"태화강엑슬루타워",1979,2011,32,355,"울산광역시 남구 신정동 1880 태화강엑슬루타워",검토필요,
12008,"성북","성북동",11290,A13612002,"성북동아에코빌",1971,2003,32,1253,"서울특별시 성북구 상월곡동 101 성북동아에코빌",검토필요,
12309,"경화","경화동",48129,A10027134,"경화동 두산위브아파트",1985,2017,32,462,"경상남도 창원진해구 경화동 1334 경화동 두산위브아파트",검토필요,
12495,"망미","망미동",26500,A61313002,"망미동the#파크리치",1975,2007,32,862,"부산광역시 수영구 망미동 693-1 망미동the#파크리치",검토필요,
5199,"한신","괴정동",30170,A10023969,"사하한신더휴아파트",1991,2022,31,835,"부산광역시 사하구 괴정동 218-32 사하한신더휴아파트",검토필요,
11793,"삼성","삼성동",30110,A13509012,"삼성힐스테이트1단지",1977,2008,31,1144,"서울특별시 강남구 삼성동 16-2 삼성힐스테이트1단지",검토필요,
12322,"신목","목동",11470,A10023219,"신목동파라곤아파트",1992,2023,31,299,"서울특별시 양천구 신월동 1085 신목동파라곤아파트",검토필요,
