ID,실거래명,동,실거래준공,현재매핑,K-apt준공,년도차이,네이버명,네이버준공,일치여부
12548,"괴산","괴산읍 동부리",1985,"괴산동부",2008,23,"",,X
7829,"신동아","방배동",1981,"신동아럭스빌아파트",2003,22,"",,X
8518,"수안","수안동",1976,"수안동조성하이츠아파트",1998,22,"",,X
11421,"호계마젤란21","호계동",2006,"호계마젤란21",1984,22,"",,X
11506,"반도","온천동",1984,"온천동반도보라스카이뷰",2006,22,"",,X
12288,"부영","덕천동",1983,"부영벽산파라빌",2005,22,"",,X
12662,"삼성","봉천동",1974,"보라매삼성",1996,22,"",,X
12792,"숭의","숭의동",2003,"힐스테이트 숭의역",2025,22,"",,X
12475,"대신","중동",1984,"해운대신시가지경동메르빌아파트",2005,21,"",,X
12753,"비산","비산동",1982,"비산삼성래미안아파트",2003,21,"",,X
7006,"밀양삼문","삼문동",1989,"밀양삼문휴먼시아",2009,20,"",,X
9782,"청천","청천동",1978,"청천푸르지오아파트",1998,20,"",,X
10844,"석수","석수동",1982,"석수e편한세상",2002,20,"",,X
3050,"한신","구로동",1988,"구로한신휴플러스",2007,19,"",,X
7784,"경동","연산동",1994,"연산경동메르빌",2013,19,"",,X
10784,"교동","교동",1980,"교동1주공아파트",1999,19,"",,X
11554,"벽산","목동",1991,"벽산우남연리지",2010,19,"",,X
11774,"방주기픈샘","신월동",2004,"방주기픈샘1차아파트",2023,19,"",,X
12801,"신안","산정동",1984,"신안비치팔레스1차아파트입주자대표회의",2003,19,"",,X
2427,"기안파인골드빌2차","팔봉동",2023,"기안파인골드빌2차",2005,18,"",,X
9391,"배산제일","모현동1가",1994,"배산제일풍경채에듀파크아파트",2012,18,"",,X
9623,"삼익","안양동",1978,"호계삼익",1996,18,"",,X
9746,"우림필유","마동",1994,"광양중마우림필유아파트",2012,18,"",,X
11852,"주공","주문진읍 교항리",1982,"교항2주공아파트",2000,18,"",,X
12082,"도원","도원동",1983,"도원삼성래미안",2001,18,"",,X
12303,"성원","화서동",1983,"화서성원상떼빌",2001,18,"",,X
12683,"도원","도원동",1983,"도원삼성래미안",2001,18,"",,X
6151,"현대","주안동",1985,"주안 현대홈타운 아파트",2002,17,"",,X
9628,"대원","하대원동",1986,"하대원아튼빌",2003,17,"",,X
10656,"쌍용","사직동",1989,"사직쌍용예가",2006,17,"",,X
12130,"해피트리","언남동",2018,"구성신일해피트리",2001,17,"",,X
12549,"구덕","서대신동3가",1979,"구덕자유아파트",1996,17,"",,X
785,"신동아","길동",1983,"길동신동아아파트",1999,16,"",,X
9633,"태영","대천동",1993,"월배태영데시앙",2009,16,"",,X
9694,"일신","호계동",1984,"일신건영장미",2000,16,"",,X
10481,"하남","신장동",1991,"하남대명강변타운",2007,16,"",,X
10993,"쌍촌","쌍촌동",1975,"쌍촌주공임대",1991,16,"",,X
11689,"대림","문현동",1983,"대림문현시티프라자",1999,16,"",,X
12057,"금광","금광동",1990,"래미안금광",2006,16,"",,X
12125,"태화","태화동",1979,"태화우성아파트",1995,16,"",,X
12147,"진흥","홍은동",2002,"진흥",2018,16,"",,X
12185,"대화","대화동",1979,"대화성저마을1단지동익",1995,16,"",,X
12559,"삼창","하단동",1985,"하단삼창",2001,16,"",,X
12561,"북정","북정동",1979,"북정동원",1995,16,"",,X
12587,"진흥","덕천동",1983,"신정마을진흥아파트",1999,16,"",,X
12790,"센트럴","상계동",2005,"노원 센트럴푸르지오",2021,16,"",,X
12823,"용마","면목동",2006,"용마한신",1990,16,"",,X
2516,"롯데","우동",1993,"동탄예당마을롯데캐슬",2008,15,"",,X
11994,"효성","정자동",1985,"정자백설마을효성",2000,15,"",,X
12321,"영동","삼동",2002,"영동경동리인",2017,15,"",,X
12813,"서변","서변동",1990,"동서변월드메르디앙",2005,15,"",,X
3946,"중앙하이츠","구로동",1987,"구로중앙하이츠아파트",2001,14,"",,X
7520,"동신","가양동",1979,"가양동신대아",1993,14,"",,X
10304,"동아","작전동",1983,"도두리마을 대동아파트",1997,14,"",,X
11569,"보성","비산동",1983,"강변보성타운",1997,14,"",,X
11925,"오치","오치동",1978,"광주오치1",1992,14,"",,X
12043,"금락","하양읍 금락리",1983,"하양금락우방타운",1997,14,"",,X
12222,"대동레미안","범천동",2005,"대동레미안센트럴시티5",2019,14,"",,X
3246,"상계대림","상계동",1989,"상계대림e-편한세상",2002,13,"",,X
7395,"신성","내동",1979,"수내푸른마을신성벽산쌍용",1992,13,"",,X
11578,"두암","두암동",1979,"광주두암2",1992,13,"",,X
12331,"현대","복대동",1986,"하복대현대2차아파트",1999,13,"",,X
12395,"동아","중동",1980,"중동중흥마을신동아영남",1993,13,"",,X
12572,"경남","호계동",1981,"무궁화경남",1994,13,"",,X
12901,"문화","문화동",1981,"대전문화1",1994,13,"",,X
12911,"양평","양평동2가",2003,"양평벽산",1990,13,"",,X
1739,"대전목동더샵","목동",2010,"대전목동더샵리슈빌",2022,12,"",,X
6304,"대곡청구","대곡동",1992,"대곡청구제네스",2004,12,"",,X
10776,"동아","석남동",1984,"석남 신동아 아파트",1996,12,"",,X
12284,"주례","주례동",1975,"주례럭키아파트",1987,12,"",,X
12312,"한일","미아동",1990,"한일유앤아이",2002,12,"",,X
12422,"동아","대명동",1980,"동아대덕아파트",1992,12,"",,X
12487,"삼성","신림동",2012,"삼성산주공3단지",2000,12,"",,X
12643,"미진","옥포동",1994,"미진타워팰리스",2006,12,"",,X
12903,"대신","대신동",2003,"대신센트럴자이",2015,12,"",,X
168,"주공","소사본동",2006,"소사주공",1995,11,"",,X
11065,"은행대우","은행동",1987,"은행대우3차2단지",1998,11,"",,X
12362,"태안","태안읍 동문리",1989,"태안동문주공1단지",2000,11,"",,X
12565,"대성","구로동",1995,"구로대성스카이렉스",2006,11,"",,X
12667,"초원","안양동",2003,"초원부영",1992,11,"",,X
6859,"주공2","가좌동",1983,"진주가좌주공2아파트",1993,10,"",,X
7157,"현대아파트","서초동",1989,"서초현대아파트",1999,10,"",,X
8351,"낙성대현대아파트","봉천동",1988,"낙성대현대아파트",1998,10,"",,X
9010,"쌍용","월계동",1996,"월계초안산쌍용",2006,10,"",,X
11060,"화신","괴정동",1980,"신괴정화신맨션아파트",1990,10,"",,X
11250,"예뜰채","가정동",2007,"예뜰채",2017,10,"",,X
11818,"동아","둔촌동",1992,"둔촌신동아",2002,10,"",,X
12252,"남산그린","남산동",1995,"남산그린타운",2005,10,"",,X
12423,"한라","신정동",1983,"한라백조",1993,10,"",,X
12474,"수명","신월동",1998,"수명산롯데캐슬",2008,10,"",,X
12590,"양재","양재동",2001,"양재우성",1991,10,"",,X
12623,"리채","용두동",2010,"첨단진아리채아파트",2020,10,"",,X
2116,"대우","좌동",1996,"가좌대우푸르지오",2005,9,"",,X
6226,"주공3","교동",1993,"교동주공3단지아파트",2002,9,"",,X
7348,"반여현대","반여동",1995,"반여현대그린아파트",1986,9,"",,X
8230,"광명","연제동",1989,"연제동 광명2차아파트",1998,9,"",,X
8464,"세원","복대동",1990,"세원느티마을아파트",1999,9,"",,X
9516,"용두","용두동",1985,"용두신동아",1994,9,"",,X
10342,"장백","대연동",2005,"장백장미타워아파트",1996,9,"",,X
10758,"신라","안양동",1983,"한가람신라",1992,9,"",,X
10793,"석미모닝파크","광혜원면 광혜원리",2008,"광혜원 석미모닝파크2차",2017,9,"",,X
12072,"서울","내동",2004,"뉴서울송내동",1995,9,"",,X
12355,"무지개","명장동",1984,"영산무지개타운",1993,9,"",,X
12415,"전원","마동",1994,"전원맨션관리사무소",1985,9,"",,X
12436,"동아","통복동",1985,"동아국화",1994,9,"",,X
12799,"보람","신월동",1996,"신월2차보람쉬움",2005,9,"",,X
4515,"우성","목동",1992,"목동2차우성",2000,8,"",,X
5719,"양지","오남읍 양지리",2001,"오남양지e편한세상1단지",2009,8,"",,X
5845,"목련","내동",1979,"칠곡목련타운",1987,8,"",,X
9219,"삼일","복대동",1990,"하복대삼일아파트",1998,8,"",,X
9345,"장전현대","장전동",2006,"장전현대2차아파트",1998,8,"",,X
10660,"호반","교동",1995,"여주호반리젠시빌",2003,8,"",,X
10927,"현광","주안동",1987,"주안 현광 아파트",1995,8,"",,X
11210,"삼전","하대동",1988,"삼전프라자",1996,8,"",,X
11227,"현대","휘경동",1992,"휘경베스트빌현대",2000,8,"",,X
11772,"현대","비전동",1985,"현대이화",1993,8,"",,X
11986,"현대2","용흥동",1988,"용흥현대2차아파트",1996,8,"",,X
12493,"함양","함양읍 교산리",1989,"함양한주",1997,8,"",,X
12828,"현대","대방동",2004,"신대방현대",1996,8,"",,X
12829,"현대","개포동",1994,"개포2차 현대아파트",1986,8,"",,X
1964,"삼성","상동",1995,"상동다정한마을삼성래미안",2002,7,"",,X
2605,"효자롯데","효자동1가",1990,"효자롯데2차아파트",1997,7,"",,X
4469,"일성","쌍용동",1992,"월봉일성",1999,7,"",,X
5623,"부영","성환읍 매주리",2005,"성환1차부영아파트",1998,7,"",,X
8486,"이너스내안에","염창동",2011,"이너스내안에",2004,7,"",,X
11043,"장미","신천동",1986,"신천장미1차2차",1979,7,"",,X
11058,"한울","율량동",1991,"한울(1144)",1998,7,"",,X
11228,"현대","문정동",1991,"가락1차현대아파트",1984,7,"",,X
11501,"삼성아파트","사당동",2006,"사당삼성아파트",1999,7,"",,X
12104,"대명","조양동",1989,"대명4차아파트",1996,7,"",,X
12412,"우림","인창동",2001,"인창공원 우림필유아파트",2008,7,"",,X
12596,"향교","교동",1980,"남원 향교",1987,7,"",,X
2628,"양덕삼구트리니엔","양덕동",2011,"양덕삼구트리니엔4차",2017,6,"",,X
3147,"봉동광신프로그레스","봉동읍 낙평리",2015,"봉동광신프로그레스2단지",2021,6,"",,X
4397,"신일","삼천동1가",1991,"삼천동 신일강변",1997,6,"",,X
5932,"송현2","송현동",1984,"송현2주공아파트",1990,6,"",,X
6435,"유승","효성동",1996,"효성동2차유승아파트",2002,6,"",,X
6450,"주공","하소동",1989,"하소주공2단지아파트",1995,6,"",,X
6760,"우미","화정동",1990,"화정우미",1996,6,"",,X
8409,"금호윤성모닝타운","금호읍 원제리",2018,"금호윤성모닝타운",2012,6,"",,X
9853,"한양","남산동",1980,"한양아파트2동",1986,6,"",,X
10369,"신라","율량동",1989,"신라임대",1995,6,"",,X
10725,"갈산","갈산동",1986,"갈산 주공1단지 아파트",1992,6,"",,X
10948,"도시","동삼동",1989,"도시공사동삼2지구영구임대아파트",1995,6,"",,X
10986,"제일1차","모현동1가",1988,"배산제일1차",1994,6,"",,X
11229,"현대","교동",1997,"교동마을현대홈타운",2003,6,"",,X
11424,"롯데캐슬","대치동",2002,"롯데캐슬리베아파트",2008,6,"",,X
11482,"대주","금호동",1994,"마재대주파크빌",2000,6,"",,X
11724,"세원","수곡동",1989,"세원청실",1995,6,"",,X
11801,"광진","효자동1가",1984,"광진진주아파트",1990,6,"",,X
12121,"동현","동현동",1986,"동현현대아파트",1992,6,"",,X
12242,"미소","홍천읍 갈마곡리",2013,"홍천신성미소지움아파트",2007,6,"",,X
12327,"영무예다음","화정동",2009,"화정영무예다음",2003,6,"",,X
12330,"함덕해밀타운아파트","조천읍 함덕리",2018,"함덕해밀타운아파트2차",2024,6,"",,X
12421,"도시형생활주택","안양동",2012,"한스하임도시형생활주택",2018,6,"",,X
12523,"양덕신우","양덕동",1997,"양덕신우빌리지",2003,6,"",,X
12574,"한일","평화동",1987,"한일장미타운",1993,6,"",,X
12632,"화북","화북일동",1992,"화북4아파트",1998,6,"",,X
1298,"신반포2","잠원동",1978,"신반포20차아파트",1983,5,"",,X
2914,"대동","내서읍 삼계리",1998,"삼계대동이미지",2003,5,"",,X
3863,"현진에버빌","단구동",2001,"현진에버빌5차6차",2006,5,"",,X
4764,"우림필유","송정동",2010,"해운대송정우림필유아파트",2015,5,"",,X
5177,"현대","삼산동",1995,"삼산현대",1990,5,"",,X
5637,"우성","삼천동1가",1993,"삼천동 우성2차",1998,5,"",,X
5756,"코오롱","화명동",1997,"화명코오롱하늘채2차",2002,5,"",,X
6704,"청구","원동",1996,"운암청구",2001,5,"",,X
7107,"쌍용","퇴계원읍 퇴계원리",2002,"퇴계원쌍용예가",2007,5,"",,X
7591,"동진","중계동",1988,"동진신안",1993,5,"",,X
7666,"럭키","교동",1986,"럭키설악타운1차아파트",1991,5,"",,X
8092,"부평","부평동",1981,"부평 동아1단지 아파트",1986,5,"",,X
8134,"가산지웰에스테이트","가산동",2013,"가산지웰에스테이트2차",2018,5,"",,X
8573,"거성","개봉동",1988,"개봉거성푸르뫼1차",1993,5,"",,X
8889,"경남아너스빌","미아동",2008,"미아경남아너스빌",2003,5,"",,X
9876,"현대","신천동",1988,"성우현대",1993,5,"",,X
10038,"현대2","신방동",1992,"신방동 두레현대2단지아파트",1997,5,"",,X
